#;Empresa;Ticker;Indice;Sector;2022 ROE;2022 ROI;2022 FCA;2022 FCN;2022 EVA;2022 M.EBITA;2022 M.EBIT;2023 ROE;2023 ROI;2023 FCA;2023 FCN;2023 EVA;2023 M.EBITA;2023 M.EBIT;2024 ROE;2024 ROI;2024 FCA;2024 FCN;2024 EVA;2024 M.EBITA;2024 M.EBIT;2025 ROE;2025 ROI;2025 FCA;2025 FCN;2025 EVA;2025 M.EBITA;2025 M.EBIT;2026 ROE;2026 ROI;2026 FCA;2026 FCN;2026 EVA;2026 M.EBITA;2026 M.EBIT
1;ACS;ACS.MC;IBEX 35;Construcción;12,05;1,78;1081180000,0;1458163000,0;-310593422,0;6,0;4,16;14,64;2,14;1234852000,0;1006805000,0;53006777,0;6,32;4,78;17,55;1,97;3294669000,0;2132023000,0;50787197,0;6,19;4,11;19,74;2,1;3237331000,0;2303003000,0;169563750,0;6,8;4,85;19,74;2,1;3237331000,0;2303003000,0;169563750,0;6,8;4,85
2;Acerinox;ACX.MC;IBEX 35;Acero;22,48;8,8;532875000,0;407366000,0;263795797,0;12,51;10,29;9,47;3,74;454716000,0;306573000,0;-57043267,0;9,5;6,91;8,9;3,48;288944000,0;88888000,0;-84640570,0;11,26;8,31;-1,94;-0,71;-79677000,0;145686000,0;-175095960,0;6,55;3,17;-1,94;-0,71;-79677000,0;145686000,0;-175095960,0;6,55;3,17
3;Amadeus IT;AMS.MC;IBEX 35;Tecnología;14,49;5,67;375200000,0;874100000,0;33320906,0;36,46;21,36;24,93;10,35;94000000,0;1194400000,0;530316159,0;39,22;26,72;24,75;10,63;1418800000,0;1357900000,0;636749831,0;38,32;26,91;27,52;11,64;1984100000,0;1386300000,0;721382156,0;38,89;27,62;27,52;11,64;1984100000,0;1386300000,0;721382156,0;38,89;27,62
4;Acciona;ANA.MC;IBEX 35;Construcción;9,03;1,95;288000000,0;-547000000,0;-384798527,0;17,63;10,06;10,8;1,71;1842000000,0;-1199000000,0;-540501978,0;14,25;7,83;8,77;1,22;1259000000,0;-492000000,0;-497420392,0;13,35;7,42;17,06;2,24;877000000,0;379000000,0;-126734885,0;17,03;10,25;17,06;2,24;877000000,0;379000000,0;-126734885,0;17,03;10,25
5;Acciona Energía;ANE.MC;IBEX 35;Energía;12,93;6,19;232000000,0;212000000,0;74851580,0;36,8;26,36;8,96;3,57;368000000,0;-1543000000,0;-333063557,0;39,67;25,51;6,11;2,2;-453000000,0;-949000000,0;-531240747,0;35,17;21,23;11,22;4,45;-1249000000,0;-596000000,0;-192942041,0;50,74;30,56;11,22;4,45;-1249000000,0;-596000000,0;-192942041,0;50,74;30,56
6;BBVA;BBVA.MC;IBEX 35;Banca;13,56;0,89;19018000000,0;21276000000,0;;;;15,51;1,03;503000000,0;-2540000000,0;;;;18,07;1,3;-17286000000,0;-20201000000,0;;;;18,33;1,22;15502000000,0;13162000000,0;;;;18,33;1,22;15502000000,0;13162000000,0;;;
7;Bankinter;BKT.MC;IBEX 35;Banca;11,42;0,52;-8607226000,0;-8107226000,0;;;;15,87;0,75;868037000,0;568037000,0;;;;16,21;0,78;1990342000,0;1790342000,0;;;;17,0;0,83;33381000,0;-766619000,0;;;;17,0;0,83;33381000,0;-766619000,0;;;
8;CaixaBank;CABK.MC;IBEX 35;Banca;9,29;0,52;-81801000000,0;-80791000000,0;;;;13,26;0,79;15761000000,0;14943000000,0;;;;15,71;0,92;15841000000,0;16091000000,0;;;;15,3;0,89;4934000000,0;3439000000,0;;;;15,3;0,89;4934000000,0;3439000000,0;;;
9;Cellnex Telecom;CLNX.MC;IBEX 35;Telecomunicaciones;-2,09;-0,68;1404305000,0;-739374000,0;-3251815503,0;75,75;4,29;-2,13;-0,67;561320000,0;-126003000,0;-3057466456,0;77,31;8,46;-0,2;-0,06;-305219000,0;276237000,0;-3122410370,0;66,92;2,84;-2,98;-0,86;1035710000,0;525822000,0;-2726856476,0;72,52;7,65;-2,98;-0,86;1035710000,0;525822000,0;-2726856476,0;72,52;7,65
10;Colonial;COL.MC;IBEX 35;Inmobiliario;0,13;0,06;829606000,0;249205000,0;-918319010,0;37,58;35,09;-20,65;-8,61;42124000,0;255624000,0;-1966659713,0;-284,28;-286,55;5,41;2,51;88598000,0;358173000,0;-446984158,0;94,53;93,07;5,86;2,77;397429000,0;282429000,0;-488913824,0;115,96;114,44;5,86;2,77;397429000,0;282429000,0;-488913824,0;115,96;114,44
11;Enagás;ENG.MC;IBEX 35;Energía;11,73;4,0;-396254000,0;635245000,0;-166464596,0;92,53;64,94;11,48;4,03;-189097000,0;411872000,0;-153241205,0;89,34;59,22;-12,6;-3,99;-174527000,0;357100000,0;-686197652,0;8,91;-22,8;14,74;4,97;-392018000,0;94420000,0;-42650501,0;79,42;49,87;14,74;4,97;-392018000,0;94420000,0;-42650501,0;79,42;49,87
12;Endesa;ELE.MC;IBEX 35;Utilities;45,73;5,08;3441000000,0;-460000000,0;424619558,0;16,54;11,46;10,57;1,8;4534000000,0;2413000000,0;-1023332958,0;13,26;6,21;23,28;5,06;2499000000,0;1721000000,0;-42855156,0;23,65;14,56;25,79;5,86;2190000000,0;2207000000,0;215883087,0;25,28;15,48;25,79;5,86;2190000000,0;2207000000,0;215883087,0;25,28;15,48
13;Ferrovial;FER.MC;IBEX 35;Infraestructuras;4,57;0,71;1377000000,0;907000000,0;-1121388192,0;12,24;8,28;9,05;1,3;1307000000,0;1177000000,0;-769480984,0;17,36;12,65;53,32;11,17;456000000,0;1067000000,0;2118058923,0;49,62;44,8;15,03;3,24;1719000000,0;1739000000,0;-253040748,0;20,75;15,66;15,03;3,24;1719000000,0;1739000000,0;-253040748,0;20,75;15,66
14;Fluidra;FDR.MC;IBEX 35;Industria;9,58;4,24;259324000,0;41907000,0;-53026840,0;17,96;11,5;7,26;3,25;245694000,0;364800000,0;-76264132,0;18,38;10,83;8,38;3,8;237494000,0;237494000,0;-61192191,0;19,54;12,01;11,06;5,16;271502000,0;271502000,0;-14771858,0;20,79;13,52;11,06;5,16;271502000,0;271502000,0;-14771858,0;20,79;13,52
15;Grifols;GRF.MC;IBEX 35;Salud;3,28;0,87;-394299000,0;-394299000,0;-962890509,0;19,68;12,91;0,78;0,2;-93000000,0;-93000000,0;-922041538,0;17,72;10,95;2,67;0,73;530000000,0;530000000,0;-755420000,0;20,58;14,5;7,63;2,04;624000000,0;624000000,0;-447147317,0;21,81;15,83;7,63;2,04;624000000,0;624000000,0;-447147317,0;21,81;15,83
16;IAG;IAG.MC;IBEX 35;Aerolíneas;21,38;1,1;1365000000,0;979000000,0;-471104578,0;15,18;6,04;81,14;7,05;-1947000000,0;1320000000,0;2008317081,0;21,1;14,09;44,28;6,24;4620000000,0;3556000000,0;1468186158,0;21,27;13,91;44,04;7,8;1984000000,0;3146000000,0;2004747081,0;23,94;16,03;44,04;7,8;1984000000,0;3146000000,0;2004747081,0;23,94;16,03
17;Iberdrola;IBE.MC;IBEX 35;Utilities;10,55;2,89;8210000000,0;3656000000,0;-3185499523,0;24,99;14,81;11,14;3,2;6718000000,0;4253000000,0;-2745514875,0;30,21;18,44;11,91;3,55;9473000000,0;3550000000,0;-4270072925,0;35,34;18,1;12,55;3,91;5777000000,0;3317000000,0;-2442967944,0;38,03;23,3;12,55;3,91;5777000000,0;3317000000,0;-2442967944,0;38,03;23,3
18;Inditex;ITX.MC;IBEX 35;Consumo;;;;;;;;24,28;13,77;5259000000,0;5259000000,0;2510773527,0;25,42;16,89;28,86;16,44;6798000000,0;6795000000,0;3703975866,0;27,92;19,87;29,81;16,9;6616236000,0;6616236000,0;4187666344,0;28,74;20,52;30,5;17,45;6520075000,0;6520075000,0;4469993850,0;29,25;21,05
19;Indra;IDR.MC;IBEX 35;Tecnología;17,42;3,79;-204447000,0;296142000,0;10577932,0;10,1;7,5;18,41;4,36;31762000,0;316814000,0;50142399,0;10,48;8,2;21,4;5,6;154090000,0;339895000,0;118312910,0;11,26;9,05;25,13;4,77;1296200000,0;378457000,0;45643185,0;14,09;11,91;25,13;4,77;1296200000,0;378457000,0;45643185,0;14,09;11,91
20;Logista;LOG.MC;IBEX 35;Distribución;35,38;2,58;606198000,0;606198000,0;137523614,0;3,58;2,51;46,09;3,38;265844000,0;263454000,0;192472854,0;4,3;3,03;48,05;3,81;350223000,0;350223000,0;227137914,0;4,57;3,29;;;;;;;;;;350223000,0;350223000,0;;4,57;3,29
21;Mapfre;MAP.MC;IBEX 35;Seguros;7,23;1,08;847200000,0;347200000,0;;;;8,0;1,23;1398800000,0;1398800000,0;;;;10,88;1,71;1211600000,0;1211600000,0;;;;12,04;1,94;1423800000,0;1423800000,0;;;;12,04;1,94;1423800000,0;1423800000,0;;;
22;Meliá Hotels;MEL.MC;IBEX 35;Hoteles;26,79;2,55;338443000,0;380795000,0;-100040605,0;28,33;14,21;22,95;2,65;243172000,0;274995000,0;-49447124,0;26,8;13,35;18,55;3,07;-55181000,0;338212000,0;-66987958,0;28,24;16,22;20,16;3,65;415028000,0;342776000,0;-39425003,0;29,33;16,81;20,16;3,65;415028000,0;342776000,0;-39425003,0;29,33;16,81
23;Merlin Properties;MRL.MC;IBEX 35;Inmobiliario;3,84;2,18;-1097850000,0;220440000,0;-757938019,0;34,95;34,52;-1,28;-0,69;503174000,0;225958000,0;-917450559,0;7,87;7,43;3,78;2,11;674560000,0;297304000,0;-600907923,0;87,05;86,17;9,74;5,51;452220000,0;405028000,0;-129894226,0;177,05;176,11;9,74;5,51;452220000,0;405028000,0;-129894226,0;177,05;176,11
24;Naturgy;NTGY.MC;IBEX 35;Energía;21,77;4,08;1852000000,0;2555000000,0;-177936167,0;13,28;9,21;21,02;5,24;1954000000,0;2433000000,0;330044024,0;22,96;16,53;20,06;4,66;1795000000,0;1795000000,0;296496492,0;28,4;20,39;21,65;5,17;2376000000,0;2376000000,0;434947943,0;28,49;20,26;21,65;5,17;2376000000,0;2376000000,0;434947943,0;28,49;20,26
25;PharmaMar;PHM.MC;IBEX 35;Salud;22,14;12,55;20811000,0;29469000,0;16622875,0;26,52;23,51;0,59;0,33;-30893000,0;-29402000,0;-20475810,0;2,88;-0,76;12,54;7,47;-575000,0;-9483000,0;-10515500,0;12,14;8,27;29,78;18,98;42288000,0;43751000,0;22046604,0;31,68;28,05;29,78;18,98;42288000,0;43751000,0;22046604,0;31,68;28,05
26;Puig Brands;PUIG.MC;IBEX 35;Consumo;42,28;5,61;1096828000,0;268147000,0;-34622495,0;19,11;15,1;48,97;6,03;633028000,0;378555000,0;61192648,0;20,37;16,32;15,05;6,17;-97093000,0;548773000,0;58715043,0;20,46;16,06;15,23;6,95;220859000,0;660560000,0;160015937,0;22,16;17,48;15,23;6,95;220859000,0;660560000,0;160015937,0;22,16;17,48
27;Red Eléctrica;RDEIF;IBEX 35;Utilities;13,88;4,5;-379503000,0;-379503000,0;-177849220,0;75,98;48,93;12,75;4,76;-494829000,0;-494829000,0;-207677071,0;79,33;55,21;7,15;2,44;-122997000,0;-122997000,0;-327638725,0;80,35;51,39;9,63;3,3;-393868000,0;-393868000,0;-407742522,0;78,67;50,12;9,63;3,3;-393868000,0;-393868000,0;-407742522,0;78,67;50,12
28;Repsol;REP.MC;IBEX 35;Energía;16,81;7,09;3149000000,0;4297000000,0;1152458579,0;13,22;10,11;12,09;5,14;212000000,0;2222000000,0;-90243299,0;12,3;8,17;6,63;2,78;-141000000,0;-141000000,0;-1818872597,0;9,81;4,68;7,55;3,2;1619000000,0;1619000000,0;-1191976315,0;10,44;6,0;7,55;3,2;1619000000,0;1619000000,0;-1191976315,0;10,44;6,0
29;Sabadell;SAB.MC;IBEX 35;Banca;6,81;0,35;-7811497000,0;-7061497000,0;;;;9,62;0,57;-10955808000,0;-11055808000,0;;;;12,18;0,76;-11115919000,0;-11615919000,0;;;;12,64;0,72;1267184000,0;1067184000,0;;;;12,64;0,72;1267184000,0;1067184000,0;;;
30;Sacyr;SCYR.MC;IBEX 35;Construcción;20,63;0,63;1338193000,0;120681000,0;-334907563,0;24,34;21,26;19,25;0,89;722764000,0;624311000,0;76655570,0;31,06;27,63;11,26;0,63;1187361000,0;961336000,0;-343118806,0;29,35;25,79;8,25;0,49;1440272000,0;1103552000,0;-164170080,0;27,93;23,98;8,25;0,49;1440272000,0;1103552000,0;-164170080,0;27,93;23,98
31;Santander;SAN.MC;IBEX 35;Banca;10,78;0,55;14694000000,0;16866000000,0;;;;11,61;0,62;-4552000000,0;-8628000000,0;;;;12,75;0,68;-31848000000,0;-34753000000,0;;;;13,67;0,76;-29029000000,0;-22494000000,0;;;;13,67;0,76;-29029000000,0;-22494000000,0;;;
